customer_id,first_name,last_name,age,country,purchase_date,purchase_price,sale_date,sale_price,profit,gender,birthdate,income,education_level,marital_status,children_count,home_ownership,credit_score,credit_card_debt,loan_amount,loan_interest_rate,loan_duration,customer_segment,purchase_frequency,website_visits,app_usage_duration,customer_satisfaction,Customer_name,,,,
181,Bronny,Birkenhead,32,China,24-Apr-15,1052.64,25-Apr-15,2801.24,1748.6,Male,07-Jul-85,378701.99,PhD,Widowed,3,Mortgage,489,60886.6,191826.45,16.5,25,Segment B,Often,0,4,4,Bronny Birkenhead,,,,
194,Des,Whetson,69,China,03-Sep-11,7768.11,07-Nov-18,1450.91,-6317.2,Male,06-Apr-73,755620.56,PhD,Single,6,Mortgage,756,62356.56,718001.1,35.57,13,Segment B,Often,537,2,4,Des Whetson,,,,
195,Kane,McColgan,63,China,19-Aug-15,64.71,19-May-13,2373.02,2308.31,Male,17-Mar-59,925669.15,Master's Degree,Single,9,Rent,593,61531.49,216676.87,5.48,22,Segment A,Daily,875,19,3,Kane McColgan,,,,
221,Weylin,Courvert,45,China,22-Dec-10,1866.05,12-Mar-22,4231.07,2365.02,Male,02-Jul-40,293988.63,PhD,Widowed,5,Rent,835,36300.5,223544.37,21.06,17,Segment A,Once,420,5,2,Weylin Courvert,,,,
261,Archibaldo,Trebbett,73,China,24-Aug-13,9199.74,23-Jul-22,3475.32,-5724.42,Male,28-Jul-04,756308.77,Master's Degree,Married,1,Mortgage,800,65021.16,874587.85,25.07,1,Segment B,Monthly,202,15,2,Archibaldo Trebbett,,,,
270,Otes,Tattershaw,43,China,12-Mar-14,4708.27,06-Nov-17,2221.37,-2486.9,Male,25-May-52,579185.52,PhD,Married,9,Mortgage,636,38716.52,527393.66,22.38,13,Segment C,Often,65,4,2,Otes Tattershaw,,,,
283,Redford,Frisch,36,China,01-Mar-21,53.89,03-May-12,9063.41,9009.52,Male,08-May-83,558297.46,High School,Divorced,2,Own,839,73033.13,774409.92,45.35,14,Segment A,Never,922,21,3,Redford Frisch,,,,
288,Frants,Ashpole,79,China,12-Jun-12,1218.12,23-May-14,5632.91,4414.79,Male,06-Nov-52,959777.34,Bachelor's Degree,Widowed,10,Mortgage,604,71982.19,892876.28,5.47,20,Segment B,Monthly,317,18,2,Frants Ashpole,,,,
291,Jerald,Darwood,78,China,13-Aug-10,8421.61,21-Oct-21,300.96,-8120.65,Male,04-Aug-95,902947.82,PhD,Married,6,Rent,808,33422.2,111270.7,31.08,13,Segment C,Never,415,2,4,Jerald Darwood,,,,
301,Pryce,Trowler,75,China,24-Mar-15,9042.85,09-Feb-21,5686.09,-3356.76,Male,13-Apr-94,237051.87,High School,Single,8,Own,442,28355.46,359469.59,22.34,17,Segment C,Daily,626,3,2,Pryce Trowler,,,,
309,Ibrahim,Iapico,49,China,24-Mar-17,1152.58,18-Mar-12,213.11,-939.47,Male,04-Jul-87,129850.72,Master's Degree,Married,1,Own,306,30253.85,989726.31,11.66,22,Segment A,Monthly,369,22,2,Ibrahim Iapico,,,,
316,Haven,Alpes,38,China,19-Nov-15,6127.19,30-Dec-12,5617.03,-510.16,Male,08-Aug-94,547347.94,High School,Married,6,Mortgage,418,25051.17,629115.39,44.29,30,Segment A,Monthly,246,5,4,Haven Alpes,,,,
323,Gunther,Boots,76,China,04-May-10,9042.63,31-Jul-22,100.88,-8941.75,Male,04-Apr-96,811488.41,PhD,Married,5,Mortgage,410,15295.22,561266.47,36.85,25,Segment A,Monthly,269,7,2,Gunther Boots,,,,
343,Bone,Mundell,62,China,17-Jul-11,2519,16-Aug-13,8558.48,6039.48,Male,09-Oct-77,347605.77,Bachelor's Degree,Married,1,Own,679,1024.59,537718.41,42.62,19,Segment C,Seldom,459,14,1,Bone Mundell,,,,
351,Elihu,Bullivent,38,China,17-May-12,4902.37,19-Feb-16,1052.1,-3850.27,Male,01-Feb-45,636659.34,PhD,Divorced,8,Rent,653,60780.02,817232.71,43.53,21,Segment C,Daily,317,15,5,Elihu Bullivent,,,,
354,Trace,Budnik,54,China,05-Jan-12,1366.31,05-Feb-19,3702.41,2336.1,Male,26-Jan-76,366159.87,PhD,Divorced,8,Rent,470,30204.97,927127.13,15.21,16,Segment B,Once,236,5,3,Trace Budnik,,,,
371,Sargent,Jikovsky,51,China,13-Aug-17,5787.73,02-Nov-19,4867.29,-920.44,Male,13-May-55,309710.23,PhD,Married,8,Own,324,84766.03,361060.47,40.12,10,Segment B,Once,306,17,4,Sargent Jikovsky,,,,
397,Kennith,Sor,31,China,06-Jan-11,3930.41,09-Mar-13,963.81,-2966.6,Male,05-Nov-03,47966.51,PhD,Widowed,0,Mortgage,668,38957.83,35401.74,4.42,15,Segment B,Once,723,22,5,Kennith Sor,,,,
406,Fielding,Jirak,75,China,26-Feb-18,7505.25,02-Mar-14,3653.77,-3851.48,Male,16-Nov-52,556757.57,Master's Degree,Divorced,3,Rent,782,132.4,123058.23,36.48,16,Segment C,Weekly,179,17,5,Fielding Jirak,,,,
424,Jocko,Crocroft,26,China,11-Jan-13,9929.89,03-Feb-14,8566.05,-1363.84,Male,12-Oct-58,320126.7,Bachelor's Degree,Widowed,10,Own,477,84091.16,282754.72,3.53,7,Segment A,Yearly,820,24,4,Jocko Crocroft,,,,
438,Keen,Ledgister,29,China,16-Jan-21,1511.06,24-May-20,8196.65,6685.59,Male,10-Mar-31,574580.46,High School,Widowed,0,Rent,563,36289.82,708428.4,47.39,29,Segment A,Daily,229,16,5,Keen Ledgister,,,,
451,Hailey,Liley,85,China,09-Apr-17,5253.63,02-Jan-14,4726.65,-526.98,Male,24-Feb-94,752501.23,Bachelor's Degree,Married,1,Own,813,49317.76,968906.89,28.08,4,Segment B,Seldom,559,9,2,Hailey Liley,,,,
463,Rodrigo,Beynkn,85,China,27-Sep-22,1795.37,06-Jun-12,7279.87,5484.5,Male,13-Jan-68,196008.52,Bachelor's Degree,Single,1,Mortgage,369,45423.89,166873.21,10.05,1,Segment A,Monthly,397,9,4,Rodrigo Beynkn,,,,
464,Davide,Karoly,23,China,16-Jul-20,2450.03,01-Jun-11,4917.07,2467.04,Male,15-Jan-39,832037.7,Bachelor's Degree,Widowed,1,Mortgage,522,67349.57,381249.92,27.29,29,Segment C,Seldom,7,10,4,Davide Karoly,,,,
469,Hal,Flamank,67,China,05-Jun-21,2384.98,14-Mar-12,4163.51,1778.53,Male,29-May-92,149263.08,PhD,Divorced,10,Rent,808,40399.33,793543.86,7.91,27,Segment C,Daily,849,1,3,Hal Flamank,,,,
480,Oliver,Laydel,38,China,11-Sep-18,223.83,17-Oct-13,8599.01,8375.18,Male,08-May-84,564911.45,Bachelor's Degree,Divorced,8,Mortgage,396,12270.9,306935.47,41.27,24,Segment C,Yearly,96,12,5,Oliver Laydel,,,,
497,Lennie,McCarron,71,China,13-Dec-12,1059.15,28-Sep-16,7.18,-1051.97,Male,18-Nov-48,699423.54,High School,Widowed,2,Rent,740,69432.67,43015.52,44.62,8,Segment C,Never,91,16,2,Lennie McCarron,,,,
506,Cristiano,Beckinsale,39,China,01-Feb-16,9353.67,02-May-15,9807.9,454.23,Male,19-Feb-37,143374.7,High School,Single,7,Own,360,13514.53,945075.63,28.56,28,Segment B,Yearly,851,7,3,Cristiano Beckinsale,,,,
515,Godwin,Hamilton,39,China,27-Aug-11,8074.96,02-May-21,7394.95,-680.01,Male,26-Aug-90,825544.92,PhD,Widowed,7,Rent,435,30798.31,485344.6,33.54,28,Segment A,Daily,193,20,3,Godwin Hamilton,,,,
524,Rudie,Roches,56,China,17-Mar-15,9448.67,24-Feb-11,2566.89,-6881.78,Male,14-Mar-94,310528.96,PhD,Single,5,Mortgage,652,84401.52,895341.26,37.59,2,Segment A,Once,58,16,1,Rudie Roches,,,,
534,Brody,Caldairou,67,China,13-Jul-10,7265.4,11-Mar-14,405.34,-6860.06,Male,19-Oct-83,834606.85,Master's Degree,Widowed,9,Own,356,55057.73,713977.13,48.34,6,Segment B,Yearly,482,21,5,Brody Caldairou,,,,
539,Donaugh,Pendrich,79,China,06-Sep-10,1160.16,12-Aug-21,2601.76,1441.6,Male,05-May-98,992890.61,Master's Degree,Single,10,Own,740,67898.22,206107.1,14.96,29,Segment A,Often,505,5,5,Donaugh Pendrich,,,,
545,Clyve,Caldeyroux,24,China,12-Aug-22,6395.56,17-Jan-15,4078.73,-2316.83,Male,18-Jan-52,337928.69,High School,Divorced,5,Mortgage,806,68748.45,33634.58,18.62,24,Segment A,Yearly,946,8,3,Clyve Caldeyroux,,,,
555,Keefe,Nealy,46,China,25-Oct-17,427.34,25-Sep-14,6285.11,5857.77,Male,16-Oct-93,431024.57,High School,Widowed,10,Rent,514,877.59,498915.33,42.64,26,Segment A,Seldom,257,10,1,Keefe Nealy,,,,
556,Giorgi,Stainfield,76,China,16-Aug-12,1782.79,03-Oct-20,9780.86,7998.07,Male,14-Jan-64,378038.77,PhD,Married,5,Own,767,59206.08,949321.7,49.9,1,Segment A,Monthly,223,20,3,Giorgi Stainfield,,,,
584,Gale,Izen,33,China,30-Jan-11,5719.95,18-Feb-17,7672.79,1952.84,Male,02-Oct-53,173243.25,High School,Married,9,Mortgage,759,29622.11,99812.93,14.13,20,Segment B,Yearly,513,16,1,Gale Izen,,,,
585,Kaspar,Ewence,76,China,05-Sep-20,1097.58,05-Mar-22,9017.57,7919.99,Male,24-Apr-43,407383.06,High School,Single,3,Own,824,40164.26,231408.41,9.15,3,Segment C,Yearly,350,17,5,Kaspar Ewence,,,,
588,Pryce,Hummerston,57,China,14-Jun-15,1262.71,01-Jun-21,5524.36,4261.65,Male,12-Feb-58,507315.1,Master's Degree,Widowed,10,Mortgage,663,42659.15,848358.97,6.83,26,Segment B,Daily,557,13,3,Pryce Hummerston,,,,
598,Mohandis,Jerzykiewicz,23,China,14-Mar-22,1019.78,16-Nov-20,8193.97,7174.19,Male,08-Aug-84,139204.93,High School,Married,9,Mortgage,479,66584.72,319817.04,21.37,2,Segment B,Yearly,72,20,2,Mohandis Jerzykiewicz,,,,
611,Ambrosio,Revel,27,China,28-Aug-16,7008.81,26-Nov-10,2765.43,-4243.38,Male,18-Apr-39,25254.96,PhD,Widowed,3,Rent,522,57841,814282.9,12.55,22,Segment A,Never,527,22,4,Ambrosio Revel,,,,
662,Christoforo,Steger,74,China,20-Jan-13,2067.38,20-Apr-10,5580.31,3512.93,Male,01-Aug-79,739314.13,PhD,Widowed,0,Mortgage,334,32072.45,486341.63,11.09,11,Segment C,Monthly,683,8,1,Christoforo Steger,,,,
663,Jordon,Leigh,43,China,24-Jan-12,94.19,15-Jun-15,9864.6,9770.41,Male,20-Sep-45,643177.27,PhD,Widowed,1,Rent,353,34859.31,982269.37,48.63,19,Segment C,Often,334,14,3,Jordon Leigh,,,,
682,Wash,Leet,28,China,11-Mar-15,4181.89,24-Apr-17,216.86,-3965.03,Male,01-Jan-95,952978.56,Master's Degree,Divorced,8,Own,558,75821.74,187807.63,31.73,12,Segment B,Monthly,620,16,5,Wash Leet,,,,
683,Hoebart,Demer,55,China,19-May-19,1331.33,30-Mar-12,7947.7,6616.37,Male,22-Jun-65,927457.24,High School,Married,2,Mortgage,826,46414.83,256090.26,28.53,28,Segment A,Once,156,7,4,Hoebart Demer,,,,
685,Garrick,Ghioni,27,China,09-Jul-13,5369.65,16-Nov-10,4079.54,-1290.11,Male,29-Aug-45,444796.29,Master's Degree,Divorced,0,Mortgage,443,25425.17,422793.77,15.82,12,Segment C,Monthly,196,0,2,Garrick Ghioni,,,,
716,Nappy,Screaton,52,China,11-Jun-15,4020.99,29-Nov-10,5877.25,1856.26,Male,29-Jun-59,417090.5,High School,Married,0,Rent,671,27671.23,249145.68,6.88,5,Segment C,Once,449,12,4,Nappy Screaton,,,,
722,Jard,Spybey,81,China,04-Nov-10,3771.77,14-Dec-18,4150.7,378.93,Male,30-Aug-53,84851.89,High School,Married,3,Own,841,23960.98,889312.91,35.73,20,Segment A,Daily,528,6,1,Jard Spybey,,,,
725,Lazarus,Jeanet,21,China,30-Jan-18,1047.1,27-Nov-11,8987.92,7940.82,Male,20-Sep-00,218170.24,Bachelor's Degree,Widowed,9,Own,594,2529.85,548710.38,16.08,26,Segment A,Seldom,351,7,5,Lazarus Jeanet,,,,
752,Steward,Hebson,64,China,15-Sep-13,2454.57,22-Sep-20,3592.17,1137.6,Male,28-Dec-52,798261.84,Master's Degree,Married,4,Own,578,87412.6,13541.86,21.67,29,Segment C,Daily,80,11,3,Steward Hebson,,,,
761,Sammy,Ber,47,China,10-May-13,9612.19,12-Nov-15,4086.44,-5525.75,Male,18-Feb-46,971082.88,Bachelor's Degree,Married,10,Rent,421,3241.16,414177.44,28.55,2,Segment B,Seldom,150,16,3,Sammy Ber,,,,
762,Javier,Yurenin,18,China,24-Sep-18,1614.03,15-Jul-14,1176.64,-437.39,Male,12-Sep-89,403093.85,Bachelor's Degree,Married,5,Mortgage,450,27456.47,576123.42,27.64,1,Segment B,Often,782,10,3,Javier Yurenin,,,,
782,Omar,Chapier,77,China,03-Jan-19,5503.19,30-Oct-19,7496.5,1993.31,Male,03-Sep-34,891252.35,High School,Divorced,8,Own,673,95128.15,220837.53,1.89,11,Segment C,Never,762,22,3,Omar Chapier,,,,
784,Standford,Jorry,30,China,18-Jan-11,769.3,27-Dec-16,4952.57,4183.27,Male,27-Aug-86,270667.03,PhD,Married,2,Own,748,18508.56,128951.66,8.03,20,Segment B,Weekly,248,2,4,Standford Jorry,,,,
793,Kennedy,Gawen,38,China,28-Oct-15,8753.21,21-Oct-13,9478.18,724.97,Male,16-Dec-39,627925.46,Master's Degree,Widowed,0,Mortgage,456,98005.54,16809.1,18.39,18,Segment C,Seldom,45,18,5,Kennedy Gawen,,,,
812,Rusty,Rosenblatt,28,China,04-May-17,7771.52,19-Nov-22,5750.51,-2021.01,Male,07-Feb-49,756916.6,Master's Degree,Widowed,3,Own,302,80915.48,897920.65,14.28,24,Segment B,Weekly,946,12,4,Rusty Rosenblatt,,,,
821,Domingo,Andrag,20,China,18-May-15,1228.1,06-Oct-19,967.05,-261.05,Male,05-Sep-97,459881.92,Master's Degree,Divorced,0,Rent,483,87400.27,348636.18,0.78,17,Segment A,Daily,71,11,3,Domingo Andrag,,,,
854,Freeman,Bestiman,55,China,21-Feb-16,8487.88,20-Dec-12,446.1,-8041.78,Male,27-Jun-67,357669.65,PhD,Single,6,Own,701,71463.74,815307.07,0.53,17,Segment B,Weekly,492,10,4,Freeman Bestiman,,,,
856,Edlin,Akehurst,63,China,05-Sep-14,3335.98,26-Dec-19,9777.78,6441.8,Male,17-May-96,24272.11,Bachelor's Degree,Divorced,0,Rent,635,61463.36,749730.96,45.62,22,Segment C,Once,112,6,2,Edlin Akehurst,,,,
886,Erhart,Dalzell,43,China,18-Sep-17,7260,02-Dec-10,619.72,-6640.28,Male,10-Sep-38,349883.37,High School,Divorced,6,Mortgage,719,98210.61,62040.62,9.92,8,Segment B,Seldom,413,18,2,Erhart Dalzell,,,,
910,Jeremy,Lorey,82,China,26-Oct-22,4114.97,30-Jul-12,7847.06,3732.09,Male,13-Dec-84,416925.46,Master's Degree,Single,7,Rent,677,75046.48,749085.16,31,30,Segment B,Daily,598,13,5,Jeremy Lorey,,,,
928,Yehudi,Billows,21,China,29-Jun-13,3611.41,26-Sep-15,907.62,-2703.79,Male,10-Aug-68,899039.01,PhD,Single,9,Rent,615,75410.77,829649.96,19.76,22,Segment C,Weekly,518,9,4,Yehudi Billows,,,,
934,Carlo,Poschel,67,China,24-Feb-12,6387.07,19-Dec-11,5667.16,-719.91,Male,29-Oct-70,256174.31,Bachelor's Degree,Married,2,Own,762,16485.25,223573.38,48.12,20,Segment B,Once,201,11,4,Carlo Poschel,,,,
935,Anatole,Mathiassen,73,China,07-Feb-11,2212.75,21-Oct-10,904.69,-1308.06,Male,06-Oct-53,105616.51,High School,Married,8,Mortgage,538,76603.33,439428.16,13.89,10,Segment B,Daily,80,6,4,Anatole Mathiassen,,,,
945,Skippy,Jacobsen,22,China,29-Aug-21,9890.59,11-Sep-14,1375.12,-8515.47,Male,15-Dec-66,256838.9,High School,Married,4,Rent,755,88696.29,467195.41,8.11,5,Segment B,Once,76,24,3,Skippy Jacobsen,,,,
946,Wilbert,Karlolak,51,China,17-May-22,7337.8,05-Aug-18,3478.33,-3859.47,Male,17-Aug-88,675713.49,PhD,Widowed,4,Mortgage,642,61022.76,765125.51,35.79,17,Segment B,Seldom,232,1,4,Wilbert Karlolak,,,,
949,Gustave,Houseman,34,China,03-Jul-14,4816.84,19-Feb-19,5059.59,242.75,Male,05-Dec-93,793011.74,PhD,Married,2,Own,783,82909.52,120885.08,14.16,3,Segment B,Yearly,447,0,5,Gustave Houseman,,,,
972,Hamel,Sent,83,China,01-Dec-17,8013.35,03-Jul-20,5807.82,-2205.53,Male,23-Mar-44,654806.73,Master's Degree,Married,2,Rent,541,83655.16,37130.6,24.38,29,Segment B,Once,845,5,1,Hamel Sent,,,,
981,Brendis,Elleray,78,China,03-Aug-20,7364.6,12-Dec-21,9496.99,2132.39,Male,27-Nov-37,550927.95,Bachelor's Degree,Widowed,9,Rent,697,11457.43,755374.51,19.09,9,Segment A,Once,558,23,3,Brendis Elleray,,,,
6,Herby,Veevers,63,United States,14-Jul-17,7227.68,10-Apr-17,7084.41,-143.27,Male,14-Jan-76,333937.11,High School,Widowed,6,Mortgage,464,30239.76,387282.81,48.97,13,Segment A,Never,941,22,2,Herby Veevers,,,,
7,Tadio,Pashbee,60,Albania,19-Aug-15,8547.51,14-Dec-14,7913.86,-633.65,Male,08-Nov-32,985677.64,High School,Single,1,Mortgage,306,35108.42,880212.09,25.35,26,Segment A,Seldom,869,13,3,Tadio Pashbee,,,,
12,Hanson,Piscot,37,Portugal,21-Apr-16,4328.36,25-Apr-18,6285.45,1957.09,Male,08-Jul-35,51733.64,Bachelor's Degree,Single,2,Mortgage,737,53629.51,969432.03,22.72,16,Segment B,Monthly,426,16,4,Hanson Piscot,,,,
17,Dall,McSkin,35,Iran,05-Jun-18,893.12,31-May-19,9354.12,8461,Male,10-Sep-36,778292.83,Master's Degree,Single,2,Mortgage,773,72889.05,873767.47,20.55,24,Segment C,Once,868,1,5,Dall McSkin,,,,
23,Dalston,Sabater,31,Indonesia,01-Jun-14,814.66,20-Jun-18,4943.36,4128.7,Male,28-Dec-60,42082.6,Bachelor's Degree,Married,9,Mortgage,840,68260.53,392185.04,27.13,24,Segment C,Once,229,12,5,Dalston Sabater,,,,
27,Cirstoforo,Birdwhistell,44,United States,30-Sep-17,5814.56,28-Oct-17,6275.72,461.16,Male,06-Jan-39,230552.21,PhD,Divorced,3,Mortgage,817,10567.57,6279.92,8.56,1,Segment B,Seldom,722,17,5,Cirstoforo Birdwhistell,,,,
80,Augustine,McGhie,68,Finland,24-Apr-13,1337.06,16-Apr-15,7799.47,6462.41,Male,18-Oct-92,272917.35,High School,Divorced,6,Mortgage,634,97844.18,582175.68,15.34,25,Segment C,Never,14,23,5,Augustine McGhie,,,,
96,Griffith,Sterley,26,Slovenia,28-Mar-20,3446.81,05-Feb-14,9759.78,6312.97,Male,01-Jul-02,632235.5,Master's Degree,Widowed,1,Mortgage,785,77807.77,990971.49,48.17,27,Segment C,Seldom,942,22,3,Griffith Sterley,,,,
98,Kleon,McMackin,34,Czech Republic,22-Aug-18,7616.28,01-Sep-17,9598.7,1982.42,Male,11-Sep-05,770724.41,High School,Single,3,Mortgage,695,56760.44,708589.29,6.38,20,Segment A,Once,260,16,5,Kleon McMackin,,,,
113,Gherardo,Jorger,27,Indonesia,27-May-14,2756.59,05-May-18,7475.06,4718.47,Male,31-Oct-74,859097.52,Bachelor's Degree,Married,1,Mortgage,446,21253.39,569918.61,19.31,8,Segment B,Daily,803,0,1,Gherardo Jorger,,,,
120,Sven,Gadd,29,Indonesia,18-Aug-16,4444.25,20-Nov-15,5324.2,879.95,Male,01-Jun-47,363077.86,Master's Degree,Widowed,10,Mortgage,716,91355.2,176439.49,30.88,24,Segment B,Monthly,211,19,4,Sven Gadd,,,,
123,Launce,Cadman,67,Tunisia,28-Mar-22,2826.91,06-Feb-11,7884.26,5057.35,Male,18-May-60,456722.43,Master's Degree,Married,7,Mortgage,473,42645.6,262591.19,4.9,27,Segment C,Often,922,9,4,Launce Cadman,,,,
129,Wayne,Dabourne,48,United States,22-Oct-13,5980.27,14-Oct-19,2829.24,-3151.03,Male,06-Apr-80,830674.94,Bachelor's Degree,Single,10,Mortgage,778,82628.1,707941.24,21.55,24,Segment C,Monthly,80,20,5,Wayne Dabourne,,,,
130,Curtice,Tink,79,Brazil,01-Jun-14,2049.79,25-Feb-21,7032.22,4982.43,Male,17-Apr-45,83631.55,Master's Degree,Divorced,9,Mortgage,554,67531.85,455606.67,28.04,15,Segment A,Never,423,15,3,Curtice Tink,,,,
131,Vinnie,Goodwell,51,Peru,05-Dec-12,9109.03,14-Feb-21,2145.06,-6963.97,Male,19-Apr-04,434309.32,PhD,Married,1,Mortgage,632,78941.76,892094.63,34.18,24,Segment C,Daily,704,21,2,Vinnie Goodwell,,,,
138,Gar,Labrenz,24,Indonesia,26-Mar-17,7117.23,29-Jul-21,8475.38,1358.15,Male,13-Jan-62,579811.59,PhD,Widowed,1,Mortgage,705,67667.28,131166.81,43.16,19,Segment B,Daily,154,20,2,Gar Labrenz,,,,
151,Verney,Ewbanke,63,Indonesia,07-Oct-18,1815.98,28-Jul-12,5690.32,3874.34,Male,07-May-52,605955.94,Bachelor's Degree,Widowed,8,Mortgage,429,32570.19,56755.24,41.09,23,Segment C,Seldom,591,17,3,Verney Ewbanke,,,,
167,Hashim,Furzey,84,Japan,29-Nov-15,3215.69,04-Jun-12,3303.34,87.65,Male,01-Oct-68,662416.45,Bachelor's Degree,Widowed,8,Mortgage,490,55406.39,806081.51,12.77,4,Segment C,Once,876,20,5,Hashim Furzey,,,,
176,Tammy,Bumby,75,Poland,01-Aug-20,8621.89,30-Jul-13,8984.62,362.73,Male,10-Jun-89,384052.63,Bachelor's Degree,Divorced,6,Mortgage,461,10175.47,418694.11,31.94,30,Segment B,Monthly,595,19,4,Tammy Bumby,,,,
185,Roddy,Garrud,49,Pakistan,01-Nov-16,7351.38,28-Jul-15,4318.96,-3032.42,Male,06-Aug-53,247156.51,Bachelor's Degree,Widowed,8,Mortgage,686,7981.13,322599.9,2.15,27,Segment A,Daily,640,17,1,Roddy Garrud,,,,
192,Jereme,Drayn,20,Gambia,06-Feb-15,2631.6,11-Sep-13,4897.7,2266.1,Male,26-Jul-67,833194.17,PhD,Married,9,Mortgage,488,67500.07,912845.03,17.87,16,Segment A,Monthly,695,14,5,Jereme Drayn,,,,
209,Guglielmo,Bingham,84,Norway,17-Sep-12,2321.26,10-May-18,9271.41,6950.15,Male,21-Mar-71,262528.71,Bachelor's Degree,Married,3,Mortgage,348,98323.1,584683.51,44.08,28,Segment A,Monthly,925,11,5,Guglielmo Bingham,,,,
228,Kienan,Lipman,35,Malaysia,22-Mar-13,1380.78,09-Nov-17,8752.56,7371.78,Male,30-Aug-89,629214.4,PhD,Single,10,Mortgage,593,90114.56,987624.08,49.59,7,Segment C,Monthly,430,13,3,Kienan Lipman,,,,
240,Parke,Hazlehurst,63,United States,15-Aug-11,872.61,06-Apr-22,7932.54,7059.93,Male,28-Nov-38,944602.65,PhD,Single,6,Mortgage,781,34802.03,988514.61,2.18,2,Segment C,Once,91,20,1,Parke Hazlehurst,,,,
243,Kristo,Kemp,81,Argentina,16-Jun-13,2104.05,23-Aug-15,3548.52,1444.47,Male,07-Apr-68,28957.58,Master's Degree,Divorced,0,Mortgage,300,18832.69,829332.72,22.03,19,Segment C,Daily,655,16,4,Kristo Kemp,,,,
245,Brig,Jachimiak,60,Mexico,12-May-17,1944.56,18-Mar-15,8172.06,6227.5,Male,27-Sep-36,145224.61,High School,Single,5,Mortgage,516,31997.22,998441.4,33.17,23,Segment A,Seldom,940,3,5,Brig Jachimiak,,,,
